project_id,project_author_id,project_author_username,studio_numberscript_count,variable_count,list_count,comment_count,costume_count,sprite_count,block_count,block_unique_count,random_block_count,
237034857,24267830,asparklekat,18,22,0,0,0,5,4,95,29,0
235612888,214,augusto,1,3,0,0,0,7,2,24,14,1
235694837,214,augusto,2,4,0,0,0,2,1,18,16,2
235783644,214,augusto,3,2,0,0,0,7,2,39,9,0
235815013,214,augusto,3,7,2,1,1,3,1,59,34,2
235839906,214,augusto,4,5,0,0,0,3,1,24,16,0
235971218,214,augusto,5,5,3,0,0,3,1,31,17,0
172785629,214,augusto,6,27,6,9,0,9,4,201,41,0
236154336,214,augusto,7,4,0,0,0,8,1,54,17,0
236258578,214,augusto,8,5,3,0,0,3,2,130,23,0
236452668,214,augusto,9,3,0,0,0,2,1,13,9,0
236451594,214,augusto,10,10,2,0,0,6,2,59,30,1
236453976,214,augusto,11,29,0,0,0,16,10,107,15,0
236574525,214,augusto,13,4,2,0,0,6,2,39,26,0
237135920,214,augusto,17,24,6,14,0,9,4,266,40,2
237293812,214,augusto,20,4,0,1,0,11,3,34,14,0
237391439,214,augusto,21,10,10,1,1,76,2,86,34,1
238749131,214,augusto,21,62,29,20,0,34,9,535,33,0
236188417,3823009,awvistechie,1,6,0,0,0,7,2,30,13,1
236189122,3823009,awvistechie,2,3,0,0,0,3,1,11,10,0
235618780,266894,awyman,1,3,0,0,0,4,2,21,14,0
235713288,266894,awyman,2,1,0,0,0,3,1,15,12,2
235795052,266894,awyman,3,11,0,0,0,3,2,37,10,0
235852560,266894,awyman,4,14,0,0,0,8,2,43,15,0
235939042,266894,awyman,5,14,4,0,0,16,5,118,26,16
236062548,266894,awyman,6,4,1,0,0,11,2,32,12,1
236178090,266894,awyman,7,1,1,0,0,2,1,19,16,2
236273288,266894,awyman,8,12,1,0,0,11,3,115,23,28
241038790,2490160,bangkokteacher,1,2,0,0,0,11,2,31,13,0
243866096,2490160,bangkokteacher,2,3,0,0,0,3,1,14,10,5
243871969,2490160,bangkokteacher,4,5,0,0,0,4,1,12,8,0
224982617,2490160,bangkokteacher,8,21,1,0,0,12,5,169,32,12
235948227,22093255,barb7777,5,8,1,0,0,7,2,64,29,4
235566829,15023687,Barbara27,1,3,0,0,0,6,2,22,12,0
235636159,27128942,barsenault14,1,2,0,0,0,4,2,14,10,0
236547572,18923507,bbass63,4,1,0,0,0,2,1,4,3,0
236553011,18923507,bbass63,5,2,0,0,0,4,1,11,8,0
236219676,1013358,bcampbell,1,4,1,0,0,7,2,32,19,2
236231667,1013358,bcampbell,2,2,1,0,0,3,1,20,13,0
236258126,1013358,bcampbell,8,26,2,0,0,41,12,110,20,2
236328571,1013358,bcampbell,9,12,5,0,0,6,4,78,30,0
236534909,1013358,bcampbell,12,6,1,0,2,9,2,52,28,1
